id,literal_id,printed_id,playagricola_card_id,revision_id,deck_id,type_id,name_ja,name_en,min_players_number,imp_prereq,imp_cost,description,ja_is_official,vps,has_arrow,has_bonus,has_neg_bonus,has_pan_icon,has_bread_icon,ag2_category_icon_id,special_color_id
101001,1,1,,1,,3,かまど,Fireplace,,,レンガ2,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料2 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料2",1,1,0,0,0,1,1,,
101002,2,2,,1,,3,かまど,Fireplace,,,レンガ3,"以下の品をいつでも食料にできる：
野菜1→食料2 羊1→食料2 猪1→食料2 牛1→食料3
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料2",1,1,0,0,0,1,1,,
101003,3,3,,1,,3,調理場,Cooking Hearth,,,かまどを返す または レンガ4,"以下の品をいつでも食料にできる：
野菜1→食料3 羊1→食料2 猪1→食料3 牛1→食料4
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料3",1,1,0,0,0,1,1,,
101004,4,4,,1,,3,調理場,Cooking Hearth,,,かまどを返す または レンガ5,"以下の品をいつでも食料にできる：
野菜1→食料3 羊1→食料2 猪1→食料3 牛1→食料4
「パンを焼く」のアクションでは、小麦を以下の量の食料にできる：
小麦1→食料3",1,1,0,0,0,1,1,,
101005,5,5,,1,,3,レンガ暖炉,Clay Oven,,,レンガ3石材1,「パンを焼く」のアクションのたびに、小麦最大1を食料5にできる。このカードの獲得のとき、追加アクションで「パンを焼く」ができる。,1,2,0,0,0,0,1,,
101006,6,6,,1,,3,石の暖炉,Stone Oven,,,石材3レンガ1,「パンを焼く」のアクションのたびに、小麦最大2までそれぞれ食料4にできる。このカードの獲得のとき、追加アクションで「パンを焼く」ができる。,1,3,0,0,0,0,1,,
101007,7,7,,1,,3,家具製作所,Joinery,,,木材2石材2,収穫のたびに木材最大1を食料2にできる。ゲーム終了時に木材3/5/7でそれぞれ1/2/3点のボーナスを得る。,1,2,0,1,0,0,0,,
101008,8,8,,1,,3,製陶所,Pottery,,,レンガ2石材2,収穫のたびにレンガ最大1を食料2にできる。ゲーム終了時にレンガ3/5/7でそれぞれ1/2/3点のボーナスを得る。,1,2,0,1,0,0,0,,
101009,9,9,,1,,3,かご製作所,Basketmaker's Workshop,,,葦2石材2,収穫のたびに葦最大1を食料3にできる。ゲーム終了時に葦2/4/7でそれぞれ1/2/3点のボーナスを得る。,1,2,0,1,0,0,0,,
101010,10,10,,1,,3,井戸,Well,,,石材3木材1,これ以降の5ラウンドのスペースにそれぞれ食料1を置く。これらのラウンドのはじめにその食料を得る。,1,4,0,0,0,0,0,,
