id,name_ja,name_en,published_year,revision_id,ja_is_official
1,アグリコラ,Agricola,2007,1,1
2,四季拡張,Through the Seasons,2008,1,0
3,Zデッキ,Z-Deck,2008,1,0
4,Xデッキ,X-Deck,2008,1,1
5,Öデッキ,Ö-Deck,2008,1,1
6,泥沼からの出発,Farmers of the Moor,2009,1,1
7,Czデッキ,Cz-Deck,2009,1,1
8,ゲーマーズデッキ,Gamers' Deck,2010,1,0
9,Legen*dary Forestデッキ,The Legen*dary Forest-Deck,2010,1,0
10,世界選手権デッキ,World Championship Deck – 2011,2011,1,1
11,NLデッキ,NL-Deck ,2011,1,0
12,ベルギーデッキ,Belgium Deck,2012,1,0
13,πデッキ,Pi-Deck,2012,1,0
14,ビーレフェルトデッキ,Bielefeld Deck,2013,1,0
15,フランスデッキ,France Deck,2014,1,0
16,アグリコラ リバイズドエディション,Agricola (Revised Edition),2016,2,1
17,5-6人拡張,Expansion for 5 and 6 Players,2016,2,1
18,アルティフェクスデッキ,Artifex Deck,2017,2,1
19,青拡張,Blue Expansion,2017,2,0
20,赤拡張,Red Expansion,2017,2,0
21,黄拡張,Yellow Expansion,2017,2,0
22,緑拡張,Green Expansion,2017,2,0
23,白拡張,White Expansion,2017,2,0
24,紫拡張,Purple Expansion,2017,2,0
25,泥沼からの出発 (リバイズドエディション),Farmers of the Moor (Revised Edition),2018,2,0
26,ブーブルクスデッキ,Bubulcus Deck,2018,2,1
27,Changelings拡張,Changelings,2018,2,0
28,Corbariusデッキ,Corbarius Deck,2019,2,0
29,Newdale拡張,Agricola Meets Newdale ,2019,2,0
30,Gingerbread House拡張,Gingerbread House,2019,2,0
31,Dulcinariaデッキ,Dulcinaria Deck,2020,2,0
9001,Lデッキ,L-Deck,,1,0
9002,Lデッキ (リバイズドエディション),L-Deck (Revised Edition),,2,0
9011,その他,Misc,,1,0
9012,その他 (リバイズドエディション),Misc (Revised Edition),,2,0
